"clean_txt","sentiment"
"RT   Exclusive   GST Revenue In March At A Record High Of Rs 96 000 Cr So Far  Details At 9 pm On India Biz Hour   ",1
"RT   Trying some new stuff tonight    Tarkov  amp  radical heights LIVE NOW     GST  streamerinitiate ",0
"RT      They   indeed declared emergency once   Demonitization was  Emergency    Aadhaar linking",-1
"    Please dont bring GSTR 2 and GSTR 3 back   it would be a burden to small Tax payers   GST",-1
"RT   Exclusive   GST Revenue In March At A Record High Of Rs 96 000 Cr So Far  Details At 9 pm On India Biz Hour   ",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT      They   indeed declared emergency once   Demonitization was  Emergency    Aadhaar linking",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT    CRISILJan2018   Kerala has been ranked 14th in economic growth  thread  ed  U 00A0  U 00BD  ed  U 00B1  U 0087   Kerala  economyoftomorrow  Gujarat  GST ",1
"RT   The 29th  GST Symposium on Data Analytics was held at  NACIN  Mumbai on 23rd April 2018  ",0
"RT    Petrol and  Diesel should be brought under  GST regime  This is required for ensuring universal prices across the states and a",0
"Trying some new stuff tonight    Tarkov  amp  radical heights LIVE NOW     GST  streamerinitiate ",0
"RT   The 29th  GST Symposium on Data Analytics was held at  NACIN  Mumbai on 23rd April 2018  ",0
"RT   Form GST ARA 01 for advance ruling is now available on GST Portal   gst  gstcouncil ",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"This is massive blow to the BJP  It will be thrown out of of karnatka once and for all after the fiasco it has crea ",-1
"Centre may levy cess on  sugar  lower  GST on  ethanol to help clear dues ",-1
"RT      They   indeed declared emergency once   Demonitization was  Emergency    Aadhaar linking",-1
"Govt exploring sugar cess   GST cut on ethanol  subsidy to growers  Ram Vilas Paswan  GSTNews  GSTIndiaExpert ",-1
"RT   Flectra Release 1 2 codename WoodStar is out now    Notes    ",0
"RT   Duty Free Shops At Delhi International Airport Liable To Pay  GST  GSTNews  GSTIndiaExpert  ht",1
"RT   Government exploring sugar cess and a  GST cut on ethanol   ",-1
" GST  Four states  Puducherry to roll out intra state e way bill from 25 April  GSTNews  GSTIndiaExpert  EWAYBILL ",0
"RT   Government exploring sugar cess and a  GST cut on ethanol   ",-1
" ed  U 00A0  U 00BD  ed  U 00B1  U 0087 Two days   GST refresher training  for field officers of  CGST  Audit  amp  DGGI  LZU is being conducted  at  NACIN  Z ",0
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"The 29th  GST Symposium on Data Analytics was held at  NACIN  Mumbai on 23rd April 2018  ",0
"RT      They   indeed declared emergency once   Demonitization was  Emergency    Aadhaar linking",-1
"Duty Free Shops At Delhi International Airport Liable To Pay  GST  GSTNews  GSTIndiaExpert  ",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"Government exploring sugar cess and a  GST cut on ethanol   ",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   Flectra Release 1 2 codename WoodStar is out now    Notes    ",0
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   MS Mani   says GST collections could go up to Rs 1 2 lk cr month gradually  Confident that the buoyancy in",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"OBS   WHAT THE HECK   All my overlays have disappearedbut alas we continue on  Come watch me play  This War of Mine ",0
"Flectra Release 1 2 codename WoodStar is out now    Notes   ",0
"RT   Exclusive   GST Revenue In March At A Record High Of Rs 96 000 Cr So Far  Details At 9 pm On India Biz Hour   ",1
"RT   In keeping with its plan to roll out the e way bill system for the intra State transport of goods in a phased manner  the GS",1
"RT    CRISILJan2018   Kerala has been ranked 14th in economic growth  thread  ed  U 00A0  U 00BD  ed  U 00B1  U 0087   Kerala  economyoftomorrow  Gujarat  GST ",1
"RT   Exclusive   GST Revenue In March At A Record High Of Rs 96 000 Cr So Far  Details At 9 pm On India Biz Hour   ",1
"RT   Exclusive   GST Revenue In March At A Record High Of Rs 96 000 Cr So Far  Details At 9 pm On India Biz Hour   ",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT    InputTaxCredit set off simplified  inputtaxcredit  gst  business  GST  tax  India    DidYouKnow  GetSetGST   GSTIndia  Indi",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"Sugar Cess   only sugar recipe which will taste bitter   GST  ",0
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT    CRISILJan2018   Kerala has been ranked 14th in economic growth  thread  ed  U 00A0  U 00BD  ed  U 00B1  U 0087   Kerala  economyoftomorrow  Gujarat  GST ",1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT   Exclusive   GST Revenue In March At A Record High Of Rs 96 000 Cr So Far  Details At 9 pm On India Biz Hour   ",1
"RT   Exclusive   GST Revenue In March At A Record High Of Rs 96 000 Cr So Far  Details At 9 pm On India Biz Hour   ",1
"       Simple ground nut sweats even af ",0
"Exclusive   GST Revenue In March At A Record High Of Rs 96 000 Cr So Far  Details At 9 pm On India Biz Hour   ",1
"RT   This is too bad      supply is less than  demand    Creating impact on this    Government have to give some subsidy here",-1
"RT    I am required to reverse only CGST  under service tax audit  but system not allowing   It take SGST also along w",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   Know more about  EWAYBILL  Why does the transporter needs to enroll on the e way bill system  Visit for more information m",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"GST TECH FAILURE   NO SUPPORT TO ISSUES  GOVT WORKING BLINDLY WITH NO HEED FOR SMEs   No response yet     gst ",-1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"A briefing session going on 4  PMKVY  GST trainees bfr d placement drive conducted by  at  PMKK satna  ",0
"Click to know about   GST   CGST   SGST   IGST  Schedule of  GSTReturns from  GSTR 1 to  GSTR 10 with Penalty Struc ",-1
"RT     Yes  Its clear Time to time people of India have proven it that they are the supreme power in de",1
"RT   INPUT TAX CREDIT  Goods and Services Tax   Started By   SOHAN LAL   Dated   22 4 2018 Last Replied Date   22 4 2018   DEAR SIRI",1
"RT    CRISILJan2018   Kerala has been ranked 14th in economic growth  thread  ed  U 00A0  U 00BD  ed  U 00B1  U 0087   Kerala  economyoftomorrow  Gujarat  GST ",1
"RT   Retweeted Tally Solutions      Upgrade to the latest release of Tally ERP 9 to update your business to the la",0
"RT   Registration under  GST  Goods and Services Tax   Started By   Archna Gupta   Dated   20 4 2018   I have few small queries so p",-1
"RT   BJP in govt   U 25CF Mess in Financial sector   Blames CAs  not  demonetization or  GST implementation   U 25CF Mess in Healthcare sector",-1
"RT    GST monthly filing cycle back on track  ",0
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"     GST  gst B2b Data in GSTR 1 for Qtr ending Mar 18 is not reflecti ",-1
"RT   Govt to roll out e way bill for intra state movement in Madhya Pradesh  Sikkim  Arunachal Pradesh  Meghalaya and Puducher",0
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT    CNBCTV18Exclusive   Govt sources on March  GST breakup  as of April 23   Rs 76000 cr   C GST  S GST  I GST and CESS Rs 2",-1
"RT    CNBCTV18Exclusive   Govt sources say Govt expected around Rs 1 lakh cr of  GST revenue during March  March Tax buoyancy",0
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   Learn about the countries that taxes digital goods and service and how to comply with the law  Sounds complicated  With Qu",1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT    CRISILJan2018   Kerala has been ranked 14th in economic growth  thread  ed  U 00A0  U 00BD  ed  U 00B1  U 0087   Kerala  economyoftomorrow  Gujarat  GST ",1
"RT   Teaching  GST nuances to B  Com  Final Year Students at  Dayalbagh Educational Institute  ",1
"RT   Govt to roll out e way bill for intra state movement in Madhya Pradesh  Sikkim  Arunachal Pradesh  Meghalaya and Puducher",0
"RT   MS Mani   says GST collections could go up to Rs 1 2 lk cr month gradually  Confident that the buoyancy in",1
"RT   In keeping with its plan to roll out the e way bill system for the intra State transport of goods in a phased manner  the GS",1
"Gujarat is the state with maximum number of E Way bills generation from 1st April to 22nd April 2018   GST ",1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT    CRISILJan2018   Kerala has been ranked 14th in economic growth  thread  ed  U 00A0  U 00BD  ed  U 00B1  U 0087   Kerala  economyoftomorrow  Gujarat  GST ",1
"RT   Price of petrol is increase day by day  why these government is not include petroleum products in GST rates ed  U 00A0  U 00BE  ed  U 00B4  U 0094  ed  U 00A0  U 00BE  ed  U 00B4  U 0094   GoBackModi   ",1
"RT   In keeping with its plan to roll out the e way bill system for the intra State transport of goods in a phased manner  the GS",1
"RT    CRISILJan2018   Kerala has been ranked 14th in economic growth  thread  ed  U 00A0  U 00BD  ed  U 00B1  U 0087   Kerala  economyoftomorrow  Gujarat  GST ",1
"RT   In keeping with its plan to roll out the e way bill system for the intra State transport of goods in a phased manner  the GS",1
" So no more duty free  gst",0
"Roll U 200B   U 200B out of e Way Bill system for  U 200B I U 200B ntra State movement of goods in the States   Union Territory of Arunachal Pr ",1
"RT    CRISILJan2018   Kerala has been ranked 14th in economic growth  thread  ed  U 00A0  U 00BD  ed  U 00B1  U 0087   Kerala  economyoftomorrow  Gujarat  GST ",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   In keeping with its plan to roll out the e way bill system for the intra State transport of goods in a phased manner  the GS",1
"RT    CNBCTV18Exclusive   Govt sources on March  GST breakup  as of April 23   Rs 76000 cr   C GST  S GST  I GST and CESS Rs 2",-1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT   In keeping with its plan to roll out the e way bill system for the intra State transport of goods in a phased manner  the GS",1
"RT   BJP in govt   U 25CF Mess in Financial sector   Blames CAs  not  demonetization or  GST implementation   U 25CF Mess in Healthcare sector",-1
"In keeping with its plan to roll out the e way bill system for the intra State transport of goods in a phased manne ",1
"Andrews hoarding billions in road  rail money  says Canberra   The Age  WAs  GST     ",0
"5 more States Union territory to implement  Ewaybill for intra state movement of Goods from 25th April  2018  Use ",1
"RT   BJP in govt   U 25CF Mess in Financial sector   Blames CAs  not  demonetization or  GST implementation   U 25CF Mess in Healthcare sector",-1
"Is it legit for restaurants inside resort to charge 18  GST on food bill   GST",1
"Procedure to issue E way Bill   Bill To Ship To model under  GST  Goods and Services Tax   Procedure to issue E way ",1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
" Malaysia  gst In a forum on Saturday night she said it wasn t some brilliant economic plan and that the money coll ",1
" APIIC of  Achuthapuram nearby  Vishakapatnam always gives contracts on  outsourcing  This gives the candidates app ",0
"More states join the GST E way bill bandwagon  Contact us for your Eway bill generation  ",1
"RT    CRISILJan2018   Kerala has been ranked 14th in economic growth  thread  ed  U 00A0  U 00BD  ed  U 00B1  U 0087   Kerala  economyoftomorrow  Gujarat  GST ",1
"   Suggestion  GST is misused by builders because ordinary buyer do not get ben ",0
"Pleased to share some thoughts on data analytics in GST Symposium organized by National Academy of Customs  Indirec ",1
"RT   Bengal posts revenue surplus in  GST mop up ",0
"Issues regarding Bill To Ship To for e Way Bill under CGST Rules  2017  Issues regarding Bill To Ship To for e Way ",0
"Bengal posts revenue surplus in  GST mop up ",0
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT        Lage rho         sahab abhi busy hai  GST me",0
" GST  newsprint makers seek clarity on actual user ",1
"Come be part of our  indirect  tax   GST  practice  ",0
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT   MS Mani   says reasonable confident that  GST collections will climb up to Rs 1 lk cr by April 30 ",1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"Birth Certificates are just receipts for human beings with no  GST  P",1
"RT   Since the roll out of  eway bill for inter state movement of goods from 1 April and intra state from 15 April  more than 1 8",0
"Since the roll out of  eway bill for inter state movement of goods from 1 April and intra state from 15 April  more ",0
"4 Critical Implications of GST on the Banking Sector   gst",0
"RT   Govt to roll out e way bill for intra state movement in Madhya Pradesh  Sikkim  Arunachal Pradesh  Meghalaya and Puducher",0
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT    CRISILJan2018   Kerala has been ranked 14th in economic growth  thread  ed  U 00A0  U 00BD  ed  U 00B1  U 0087   Kerala  economyoftomorrow  Gujarat  GST ",1
"RT    CRISILJan2018   Kerala has been ranked 14th in economic growth  thread  ed  U 00A0  U 00BD  ed  U 00B1  U 0087   Kerala  economyoftomorrow  Gujarat  GST ",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   A Complete  Cloud Application   Embrace the New Cloud Technology  Invoice to  GST  Compliance Solutions for  SMB  amp   Accou",1
"RT   What is the BEST thing about being a Twitch streamer   Sometimes streaming can be rough for small streamers but lets try t",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   A Complete  Cloud Application   Embrace the New Cloud Technology  Invoice to  GST  Compliance Solutions for  SMB  amp   Accou",1
"The hospitality sector is one of the industry which well handled the storm of Goods and services tax as well as dem ",0
"RT    GST Educational Series ",1
"RT    GST Educational Series ",1
"RT    GST Educational Series ",1
"RT    GST Educational Series ",1
"RT    GST Educational Series ",1
"RT    CRISILJan2018   Kerala has been ranked 14th in economic growth  thread  ed  U 00A0  U 00BD  ed  U 00B1  U 0087   Kerala  economyoftomorrow  Gujarat  GST ",1
"RT   MS Mani   says reasonable confident that  GST collections will climb up to Rs 1 lk cr by April 30 ",1
"RT   A Complete  Cloud Application   Embrace the New Cloud Technology  Invoice to  GST  Compliance Solutions for  SMB  amp   Accou",1
"RT   Chill stream  come drop in          GST     ",0
"MS Mani   says GST collections could go up to Rs 1 2 lk cr month gradually  Confident that the buoyan ",1
"RT   MS Mani   says reasonable confident that  GST collections will climb up to Rs 1 lk cr by April 30 ",1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT   A Complete  Cloud Application   Embrace the New Cloud Technology  Invoice to  GST  Compliance Solutions for  SMB  amp   Accou",1
"RT    CRISILJan2018   Kerala has been ranked 14th in economic growth  thread  ed  U 00A0  U 00BD  ed  U 00B1  U 0087   Kerala  economyoftomorrow  Gujarat  GST ",1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT   A Complete  Cloud Application   Embrace the New Cloud Technology  Invoice to  GST  Compliance Solutions for  SMB  amp   Accou",1
"MS Mani   says reasonable confident that  GST collections will climb up to Rs 1 lk cr by April 30 ",1
" CRISILJan2018   Kerala has been ranked 14th in economic growth  thread  ed  U 00A0  U 00BD  ed  U 00B1  U 0087   Kerala  economyoftomorrow  Gujarat  GST ",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   A Complete  Cloud Application   Embrace the New Cloud Technology  Invoice to  GST  Compliance Solutions for  SMB  amp   Accou",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"What is the BEST thing about being a Twitch streamer   Sometimes streaming can be rough for small streamers but let ",-1
"What is the impact of GST on a bank s compliance  How will banks with multi state operations deal with the change  ",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"BIZ Booster   Footwear Management Software Footwear management on your fingertips For Free Demo Please call us on   ",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"  GST collections have touched 1lakh crores  amp  momentum should continue next month onwards due to E Way ",1
" I am required to reverse only CGST  under service tax audit  but system not allowing   It take SGST als ",-1
"With  GST collections almost hitting 1lac crores per month  it s high time govt now reduce fuel tax to give relief ",0
"RT    CNBCTV18Exclusive   Govt sources say Govt expected around Rs 1 lakh cr of  GST revenue during March  March Tax buoyancy",0
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"FY End filings to lead to Bumper  GST collection in March   Rs 96000 cr March  GST as of April 23rd  Will final Mar ",1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT    CNBCTV18Exclusive   Govt sources on March  GST breakup  as of April 23   Rs 76000 cr   C GST  S GST  I GST and CESS Rs 2",-1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
" CNBCTV18Exclusive   Govt sources say Govt expected around Rs 1 lakh cr of  GST revenue during March  March Tax buo ",0
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
" GST roadblocks hit India export prospects in FY18  says a report ",-1
" CNBCTV18Exclusive   Govt sources on March  GST breakup  as of April 23   Rs 76000 cr   C GST  S GST  I GST and CES ",0
"Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns for March filed till April 23  reports",1
" CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST retu ",1
"Hello   Some issue with your servers   Not able to login     Trying to access for  GST payment",-1
"Fuck  gst chargs this was included my total income again Nd again",1
"Rare to feel decent during the workout  I ll take it   workout  gst  disciplineequalsfreedom  ",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   Govt to roll out e way bill for intra state movement in Madhya Pradesh  Sikkim  Arunachal Pradesh  Meghalaya and Puducher",0
"Govt to roll out e way bill for intra state movement in Madhya Pradesh  Sikkim  Arunachal Pradesh  Meghalaya and Pu ",0
"This time it was IMF Asia Director  who praised Modi and he gave some brief outlook of how GST improved the economy ",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"GST registration is much more beneficial for your business than you think   GST  GSTIndia  GSTregistration   ",1
" Consumer Awareness   GST benefits should be passed to you    We all are consumers   Lets fight against Profiteeri ",-1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   A Complete  Cloud Application   Embrace the New Cloud Technology  Invoice to  GST  Compliance Sol ",1
"Price of petrol is increase day by day  why these government is not include petroleum products in GST rates ed  U 00A0  U 00BE  ed  U 00B4  U 0094  ed  U 00A0  U 00BE  ed  U 00B4  U 0094  ",1
" Do we have any plans to reduce the excise duty on petroleum products in  India and to bring under ",-1
" DutyFree shops to come under  GST     ed  U 00A0  U 00BD  ed  U 00B9  U 0085  U 200D  U 2642  U FE0F  ed  U 00A0  U 00BD  ed  U 00B8  U 00B1  ed  U 00A0  U 00BD  ed  U 00B8  U 00B1    what s duty free then    Someday they will charge you GST for using ",0
"A Complete  Cloud Application   Embrace the New Cloud Technology  Invoice to  GST  Compliance Solutions for  SMB  amp  ",1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"Our latest blog post for  NRIInvestors on how  RERA  GST and  REITs will help NRI s buy a home in  India  ",0
"How to Create Eway Bills when Bill to and Ship To Parties are Different  Ewaybill  gst ",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"An integral part of achieving the no tax evasion objective of GST has been the prescription of the requirement fo ",-1
" gst  revocationofcancellation  registration  sukhwindersingh  updatetia  infopedia   New Delhi ",0
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   Western Australia receives back less than 50  of its  GST contribution and yet this   WA is at risk of becoming a National",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
" gstcouncil   GST    Respected Sir  this is how our GST website is functioning  Now  I have al ",1
"GST may lead to salary restructuring for you as an employee  View  gst    Get content from  ",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   BULLYING AND BRIBERY FROM  LIBERALS   NorthernTerritory will receive  259 million a bigger chunk of  GST after it lifted a mor",-1
"Global travelers purchasing merchandise at air terminal Duty Free shops here should pay  GST  with the Authority ",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"Know more about  EWAYBILL  Why does the transporter needs to enroll on the e way bill system  Visit for more inform ",1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   High Court of  Delhi issued a notice to theReserve Bank of India  RBI   the Ministry of Finance  and the Goods and Servi",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"Implication of  GST on Lease Rent  Goods and Services Tax   Started By   Deepa Praveen   Dated   23 4 2018   Facts ",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   In the GST pool  E way bill is an important fish  Know why    GST  EwayBill  TransformingIndia  DigitalIndia  RujulERP  Ult",1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"In the GST pool  E way bill is an important fish  Know why    GST  EwayBill  TransformingIndia  DigitalIndia ",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"Congrats to  and  for org a placement drive in partnership with  for  GST stud at ",1
"RT   SGST surplus  Bucking trend Bengal becomes SGST surplus   The Economic Times   ",1
"RT   High Court of  Delhi issued a notice to theReserve Bank of India  RBI   the Ministry of Finance  and the Goods and Servi",1
"RT   High Court of  Delhi issued a notice to theReserve Bank of India  RBI   the Ministry of Finance  and the Goods and Servi",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"High Court of  Delhi issued a notice to theReserve Bank of India  RBI   the Ministry of Finance  and the Goods an ",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT    GST Educational Series ",1
"SGST surplus  Bucking trend Bengal becomes SGST surplus   The Economic Times   ",1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT      They   indeed declared emergency once   Demonitization was  Emergency    Aadhaar linking",-1
" There is high  GST  on product so can t afford much of it ",1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"  Since  charged IGST at 12  isn t it mandatory to mention their GST number in the in ",0
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"   They   indeed declared emergency once   Demonitization was  Emergency   ",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
